"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1766","login page title test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","1780","forgot password link exist","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","350","POST API - create user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","7485","Verify user is on Shopping Cart page","chromium","2026-06-28","passed","2026-06-28","","cartPage.spec.ts","",""
"","2255","@regression invalid login test with - savi@opencart.com - ssaff","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","1014","@regression GET - get location data","chromium","2026-06-28","passed","2026-06-28","","API/amedus.oauth2.spec.ts","",""
"","334","GET API - get all users","chromium","2026-06-28","passed","2026-06-28","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","2955","Register user Marcus","chromium","2026-06-28","passed","2026-06-28","","registerpage.spec.ts","",""
"","6438","@regression Select product from search result product list test","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2838","Register user Sophie","chromium","2026-06-28","passed","2026-06-28","","registerpage.spec.ts","",""
"","950","@smoke DELETE - delete user","chromium","2026-06-28","passed","2026-06-28","","API/users.api.indi.spec.ts","",""
"","6700","Verify success message is displayin after product is added to cart","chromium","2026-06-28","passed","2026-06-28","","productPage.spec.ts","",""
"","1131","GET - schema validation - get user","chromium","2026-06-28","passed","2026-06-28","","API/users.api.schema.spec.ts","",""
"","285","@smoke create user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","2336","user is able to login test","chromium","2026-06-28","passed","2026-06-28","","loginpageBeforeFixture.spec.ts","",""
"","2516","footer link list test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","2189","@regression invalid login test with - - pw123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2558","intercept and log the request","chromium","2026-06-28","passed","2026-06-28","","API/intercept.spec.ts","",""
"","5777","Search result count test macbook - MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2240","@regression invalid login test with - invalid@open.com - wrong23","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","306","Update user partial test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","1","PUT - Update user","chromium","2026-06-28","skipped","2026-06-28","","API/users.api.indi.spec.ts","",""
"","2385","logout link exist test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","1772","login page title test","chromium","2026-06-28","passed","2026-06-28","","loginpageBeforeFixture.spec.ts","",""
"","2505","homepage headers exist test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","2520","homepage title test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","6405","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2091","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","288","PUT API- update name","chromium","2026-06-28","passed","2026-06-28","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","369","DELETE API - delete user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","2112","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","5768","Search result count test macbook - MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","308","@smoke Update user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","5742","Search result count test imac - iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2889","@regression login to app using wrong credentials with data driven test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2260","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2798","Register user Alicia","chromium","2026-06-28","passed","2026-06-28","","registerpage.spec.ts","",""
"","6487","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2445","logout link exist test","chromium","2026-06-28","passed","2026-06-28","","homepageBeforeFixture.spec.ts","",""
"","2433","homepage logo visible test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","1806","forgot password link exist","chromium","2026-06-28","passed","2026-06-28","","loginpageBeforeFixture.spec.ts","",""
"","392","GET -schema validation- get all user","chromium","2026-06-28","passed","2026-06-28","","API/users.api.schema.spec.ts","",""
"","222","mock search data api","chromium","2026-06-28","passed","2026-06-28","","API/intercept.spec.ts","",""
"","2412","homepage title test","chromium","2026-06-28","passed","2026-06-28","","homepageBeforeFixture.spec.ts","",""
"","2323","homepage headers exist test","chromium","2026-06-28","passed","2026-06-28","","homepageBeforeFixture.spec.ts","",""
"","6973","Verify product information/Data","chromium","2026-06-28","passed","2026-06-28","","productPage.spec.ts","",""
"","5959","Search result product list test","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","406","Delete user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","276","@smoke get user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
