"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6479","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","1151","@smoke get user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","6487","@smoke Verify user is able to land on the product page test imac-iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","289","@smoke create user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","278","@smoke Update user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","2536","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","6386","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","1878","@smoke DELETE - delete user","chromium","2026-06-28","passed","2026-06-28","","API/users.api.indi.spec.ts","",""
"","2213","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2457","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
