"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2987","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1925","@smoke DELETE - delete user","chromium","2026-06-29","passed","2026-06-29","","API/users.api.indi.spec.ts","",""
"","7194","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","408","@smoke Update user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","307","@smoke create user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","2792","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2601","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","7272","@smoke Verify user is able to land on the product page test imac-iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1189","@smoke get user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","7226","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
